customer_id,frequency,monetary,avg_discount,recency,support_ticket_count,last_visit_days_ago,segment_name
CUST00001,6,2955.57,0.36333333333333334,107,2.0,20,High-Value but Unhappy
CUST00002,1,581.0,0.23,40,1.0,0,At-Risk Customers
CUST00003,1,649.98,0.47,171,0.0,26,Dormant Customers
CUST00004,1,1604.04,0.16,131,0.0,14,Dormant Customers
CUST00005,4,2550.91,0.4425,38,1.0,9,Discount-Sensitive Customers
CUST00006,5,3770.16,0.358,51,2.0,1,High-Value but Unhappy
CUST00007,1,719.33,0.18,3,0.0,12,At-Risk Customers
CUST00008,4,2747.33,0.2225,47,1.0,16,Loyal Customers
CUST00009,1,376.85,0.49,31,0.0,6,Discount-Sensitive Customers
CUST00010,1,636.8,0.45,9,0.0,5,Discount-Sensitive Customers
CUST00011,2,925.0699999999999,0.15500000000000003,1,0.0,0,Loyal Customers
CUST00012,2,2051.63,0.29500000000000004,50,1.0,5,Loyal Customers
CUST00013,3,1754.44,0.23,61,1.0,21,At-Risk Customers
CUST00014,11,8130.16,0.2618181818181818,51,2.0,17,High-Value but Unhappy
CUST00015,4,4200.93,0.3025,35,0.0,11,Discount-Sensitive Customers
CUST00016,1,478.02,0.22,215,1.0,32,Dormant Customers
CUST00017,3,1699.1399999999999,0.26666666666666666,286,0.0,47,Dormant Customers
CUST00018,1,329.21,0.36,111,0.0,37,Discount-Sensitive Customers
CUST00019,2,1598.93,0.105,9,0.0,0,Loyal Customers
CUST00020,3,4487.950000000001,0.13,368,1.0,60,Dormant Customers
CUST00021,2,1059.3,0.435,77,1.0,18,Discount-Sensitive Customers
CUST00022,1,454.06,0.31,29,0.0,0,Discount-Sensitive Customers
CUST00023,1,400.98,0.25,21,0.0,7,At-Risk Customers
CUST00024,1,481.35,0.34,4,0.0,0,Discount-Sensitive Customers
CUST00025,7,4868.86,0.31142857142857144,165,3.0,29,High-Value but Unhappy
CUST00026,3,3561.3900000000003,0.16333333333333333,72,1.0,26,At-Risk Customers
CUST00027,1,2128.34,0.3,70,1.0,18,At-Risk Customers
CUST00028,2,1489.7800000000002,0.19,83,1.0,19,At-Risk Customers
CUST00029,8,5252.9,0.23374999999999999,18,0.0,0,Champions
CUST00030,6,3435.5899999999997,0.34,5,2.0,3,High-Value but Unhappy
CUST00031,1,672.95,0.24,49,0.0,9,At-Risk Customers
CUST00032,3,1948.75,0.3666666666666667,33,0.0,13,Discount-Sensitive Customers
CUST00033,4,2128.09,0.405,12,2.0,7,High-Value but Unhappy
CUST00034,6,3353.01,0.26166666666666666,50,3.0,0,High-Value but Unhappy
CUST00035,3,1369.71,0.24333333333333332,127,0.0,25,Dormant Customers
CUST00036,4,1737.33,0.365,27,1.0,14,Discount-Sensitive Customers
CUST00037,1,435.83,0.43,102,0.0,28,Discount-Sensitive Customers
CUST00038,4,2104.61,0.355,51,1.0,14,Discount-Sensitive Customers
CUST00039,3,1598.49,0.2966666666666667,15,0.0,4,Champions
CUST00040,1,634.73,0.38,154,1.0,42,Dormant Customers
CUST00041,4,1911.8600000000001,0.3475,54,1.0,22,Discount-Sensitive Customers
CUST00042,9,7523.74,0.21888888888888888,87,6.0,14,High-Value but Unhappy
CUST00043,1,363.01,0.43,24,0.0,0,Discount-Sensitive Customers
CUST00044,3,2724.09,0.38666666666666666,72,1.0,10,Discount-Sensitive Customers
CUST00045,1,413.75,0.33,96,0.0,10,Discount-Sensitive Customers
CUST00046,1,489.87,0.13,127,0.0,29,Dormant Customers
CUST00047,1,764.43,0.16,204,0.0,36,Dormant Customers
CUST00048,4,2450.45,0.3125,61,1.0,12,Discount-Sensitive Customers
CUST00049,1,380.83,0.47,8,0.0,0,Discount-Sensitive Customers
CUST00050,3,2466.39,0.3333333333333333,0,1.0,0,Discount-Sensitive Customers
CUST00051,4,4444.3,0.3525,210,2.0,35,High-Value but Unhappy
CUST00052,3,2807.14,0.21,55,1.0,8,Loyal Customers
CUST00053,4,4192.59,0.395,25,2.0,5,High-Value but Unhappy
CUST00054,1,489.85,0.25,6,0.0,0,At-Risk Customers
CUST00055,3,1308.35,0.24666666666666667,3,1.0,0,Loyal Customers
CUST00056,4,3530.41,0.28500000000000003,9,1.0,0,Champions
CUST00057,2,2510.83,0.245,136,0.0,29,Dormant Customers
CUST00058,4,2451.54,0.23249999999999998,42,0.0,6,Loyal Customers
